apogee_id,param_m_h,param_m_h_err,param_alpha_m,param_alpha_m_err,glat
2M04361209+4719189,-0.05720448,0.02920636,0.08724076,0.0129624,-0.0266530855448
2M18430363-0328133,0.2109815,0.02664105,0.1346125,0.01139225,0.278737941074
2M05243213+3548356,-0.4011981,0.03404466,0.06346241,0.01603424,-0.0209992835302
2M05243516+3619534,0.005166423,0.02953243,0.03179234,0.01325293,0.280861917552
2M05275121+3517020,-0.1920718,0.03045116,0.08132146,0.01347746,0.244521702493
2M05275947+3427497,-9999,-1,-9999,-1,-0.187521057954
2M17400451-3115347,0.0689894,0.02590613,0.01582022,0.01068383,-0.202515411855
2M17403864-3103459,-9999,-1,-9999,-1,-0.201152323003
2M17405107-2946386,-9999,-1,-9999,-1,0.44222395537
2M17422044-3020448,-9999,-1,-9999,-1,-0.131721490861
2M17500093-2631206,0.2285364,0.02648909,0.01528722,0.01018686,0.415790997125
2M17504111-2655256,-9999,-1,-9999,-1,0.0816264397972
2M17505525-2700458,0.4452268,0.02436687,0.01722558,0.008737803,-0.0090121814922
2M17510013-2623057,0.3461073,0.02576604,0.01166577,0.009493229,0.296584513526
2M19434514+2429540,-0.4781388,0.0339429,0.08137401,0.01652833,0.333535919842
2M19440271+2441059,0.1940834,0.02583447,0.003841133,0.01115465,0.368903130127
2M19442585+2426023,0.02565092,0.02873079,0.06409647,0.01294732,0.167603272918
2M19450171+2438392,0.2949893,0.02465441,0.01692961,0.009374128,0.155019792185
2M19452121+2337286,0.1594312,0.0280512,0.06499469,0.01187383,-0.419662040601
2M19454816+2432273,0.2035428,0.02641765,0.0320876,0.01169859,-0.0490309616841
2M19454918+2425088,0.09970389,0.02614862,-0.008828636,0.01068337,-0.113485077144
2M19460875+2442077,0.2529489,0.02736282,-0.004963349,0.01032503,-0.035578341648
2M19465789+2443588,-0.4173212,0.03057654,0.02904578,0.01650249,-0.180826510775
2M06025836+2218582,-0.5097337,0.03140803,0.0076172,0.01578125,0.0190296131641
2M06032669+2237152,-0.2113608,0.03080663,0.0376597,0.01370829,0.264017718885
2M06042165+2228456,-0.2291549,0.03066815,0.02556094,0.01530563,0.378638520505
2M06053844+2137255,-0.4888096,0.03383383,0.09282926,0.01699257,0.218051398486
2M17524747-2522469,0.03247429,0.02519718,-0.018246,0.01068082,0.463202550838
2M17532005-2544479,0.3540587,0.02551608,0.02393545,0.009392478,0.171294099575
2M17533929-2524438,-9999,-1,-9999,-1,0.278683276763
2M17534095-2530377,-0.08656329,0.02584181,-0.0432553,0.01220028,0.223442028915
2M17535881-2507529,0.4659864,0.02375514,-0.007950788,0.008498528,0.357616889967
2M17542043-2525295,-9999,-1,-9999,-1,0.138770431552
2M17544610-2554558,-9999,-1,-9999,-1,-0.192500155413
2M17544793-2502353,-9999,-1,-9999,-1,0.242378219857
2M17554007-2520348,-9999,-1,-9999,-1,-0.0786563983183
2M17562519-2542401,-9999,-1,-9999,-1,-0.410521627831
2M05435403+2936058,0.02018488,0.02975186,0.03516669,0.01321167,0.028125027408
2M05441692+2931360,0.2902144,0.02640733,0.0687461,0.01038141,0.0595592453505
2M05450797+2957310,-0.3485409,0.03361098,0.1600168,0.01730962,0.442780793639
2M05470267+2757391,-0.3572347,0.03392422,0.08193428,0.01569581,-0.239298596706
2M05471426+2837261,-9999,-1,-9999,-1,0.140708133141
2M05472356+2840508,-0.1463302,0.03083902,0.04768139,0.01479733,0.199255887612
2M05481186+2854307,-0.6185077,0.0376428,0.09556466,0.01949931,0.468001989959
2M05482915+2804301,-0.2502801,0.03107095,0.06988292,0.01581415,0.0919843721225
2M05483411+2822185,-0.2369674,0.03217134,-0.06412093,0.01624806,0.260700502692
2M00375575+6232496,-0.3793795,0.03333637,0.07202667,0.01752247,-0.283656208015
2M17532795-2541200,-9999,-1,-9999,-1,0.175040955849
2M17533321-2552583,-9999,-1,-9999,-1,0.0596226525722
2M00225701+6221282,0.05060858,0.02878553,0.03842445,0.01262008,-0.331216014765
2M00251023+6219455,-0.03680569,0.02976556,0.06803741,0.0135778,-0.386911244864
2M00290406+6225190,0.3152818,0.02597169,0.04271664,0.009672174,-0.337285991271
2M00313738+6246525,-9999,-1,-9999,-1,-0.00322533588538
2M00322380+6247293,-0.4522232,0.03346188,0.1561265,0.01819369,0.000307792301991
2M21113342+4753272,0.2901741,0.02735034,0.008439294,0.01016477,-0.244531697993
2M21115993+4747251,-9999,-1,-9999,-1,-0.367454426326
2M21141974+4833429,0.1072445,0.02671905,0.007740135,0.01077011,-0.117871145377
2M21142172+4916479,-0.08758283,0.02959363,0.06553654,0.01262213,0.37465116823
2M20181354+3557465,-9999,-1,-9999,-1,0.0843097342377
2M20203258+3650150,0.2459181,0.02552681,-0.03420773,0.009821337,0.193411618471
2M20220199+3622422,0.29803,0.02609565,0.03534273,0.0111103,-0.313680254963
2M22245039+5707199,-0.09729389,0.03032554,0.04289756,0.01291251,-0.267221746668
2M22245045+5729340,-9999,-1,-9999,-1,0.0466829225755
2M22303228+5741266,-0.3684393,0.03098127,0.05245047,0.01470904,-0.183244601425
